sample_id,trial_id,speaker_id,audio_path,label,label_name,codec,source,attack,trim,subset,vocoder,language,transaction_amount,transaction_currency,transaction_type,recipient_new,prior_transactions,time_since_last_transaction,speaker_baseline_available,source_dataset,source_distribution,consent_status
asvspoof2021_df_DF_E_4668318,DF_E_4668318,LA_0005,data/raw/audio/asvspoof2021_df/audio/DF_E_4668318.flac,0,bonafide,low_m4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4542427,DF_E_4542427,TEM2,data/raw/audio/asvspoof2021_df/audio/DF_E_4542427.flac,1,spoof,high_ogg,vcc2020,Task1-team24,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4730092,DF_E_4730092,LA_0001,data/raw/audio/asvspoof2021_df/audio/DF_E_4730092.flac,0,bonafide,oggm4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4676367,DF_E_4676367,LA_0007,data/raw/audio/asvspoof2021_df/audio/DF_E_4676367.flac,0,bonafide,mp3m4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4707935,DF_E_4707935,LA_0045,data/raw/audio/asvspoof2021_df/audio/DF_E_4707935.flac,0,bonafide,oggm4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3055838,DF_E_3055838,LA_0002,data/raw/audio/asvspoof2021_df/audio/DF_E_3055838.flac,0,bonafide,low_m4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3010000,DF_E_3010000,VCC2TM2,data/raw/audio/asvspoof2021_df/audio/DF_E_3010000.flac,1,spoof,low_mp3,vcc2018,HUB-N09,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4514478,DF_E_4514478,TEF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4514478.flac,1,spoof,low_ogg,vcc2020,Task1-team21,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4549163,DF_E_4549163,VCC2TF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4549163.flac,0,bonafide,low_mp3,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4688617,DF_E_4688617,LA_0026,data/raw/audio/asvspoof2021_df/audio/DF_E_4688617.flac,1,spoof,low_ogg,asvspoof,A07,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4667844,DF_E_4667844,VCC2SM3,data/raw/audio/asvspoof2021_df/audio/DF_E_4667844.flac,0,bonafide,nocodec,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3076416,DF_E_3076416,LA_0045,data/raw/audio/asvspoof2021_df/audio/DF_E_3076416.flac,0,bonafide,low_m4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4847196,DF_E_4847196,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4847196.flac,1,spoof,low_m4a,vcc2018,HUB-D05,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4512979,DF_E_4512979,TEF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4512979.flac,1,spoof,high_mp3,vcc2020,Task1-team07,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4720283,DF_E_4720283,LA_0030,data/raw/audio/asvspoof2021_df/audio/DF_E_4720283.flac,1,spoof,low_ogg,asvspoof,A08,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2988687,DF_E_2988687,VCC2TF1,data/raw/audio/asvspoof2021_df/audio/DF_E_2988687.flac,1,spoof,high_mp3,vcc2018,HUB-N19,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4716506,DF_E_4716506,LA_0023,data/raw/audio/asvspoof2021_df/audio/DF_E_4716506.flac,0,bonafide,low_mp3,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4674023,DF_E_4674023,LA_0028,data/raw/audio/asvspoof2021_df/audio/DF_E_4674023.flac,1,spoof,low_m4a,asvspoof,A07,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2992361,DF_E_2992361,SEM1,data/raw/audio/asvspoof2021_df/audio/DF_E_2992361.flac,0,bonafide,oggm4a,vcc2020,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2974031,DF_E_2974031,TEM1,data/raw/audio/asvspoof2021_df/audio/DF_E_2974031.flac,1,spoof,low_m4a,vcc2020,Task1-team31,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2982599,DF_E_2982599,VCC2TF2,data/raw/audio/asvspoof2021_df/audio/DF_E_2982599.flac,1,spoof,mp3m4a,vcc2018,SPO-N16,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4681220,DF_E_4681220,LA_0003,data/raw/audio/asvspoof2021_df/audio/DF_E_4681220.flac,1,spoof,oggm4a,asvspoof,A12,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4680873,DF_E_4680873,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4680873.flac,1,spoof,high_ogg,vcc2018,SPO-N06,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4719648,DF_E_4719648,LA_0018,data/raw/audio/asvspoof2021_df/audio/DF_E_4719648.flac,0,bonafide,high_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4664709,DF_E_4664709,TEF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4664709.flac,1,spoof,high_m4a,vcc2020,Task1-team24,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4664647,DF_E_4664647,TFF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4664647.flac,0,bonafide,nocodec,vcc2020,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4814756,DF_E_4814756,VCC2TF2,data/raw/audio/asvspoof2021_df/audio/DF_E_4814756.flac,1,spoof,high_mp3,vcc2018,HUB-D05,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3079353,DF_E_3079353,TEF2,data/raw/audio/asvspoof2021_df/audio/DF_E_3079353.flac,1,spoof,nocodec,vcc2020,Task1-team12,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3055341,DF_E_3055341,VCC2SM1,data/raw/audio/asvspoof2021_df/audio/DF_E_3055341.flac,0,bonafide,low_mp3,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4841588,DF_E_4841588,VCC2TF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4841588.flac,1,spoof,high_m4a,vcc2018,SPO-N18,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4703093,DF_E_4703093,TMF1,data/raw/audio/asvspoof2021_df/audio/DF_E_4703093.flac,1,spoof,high_mp3,vcc2020,Task2-team32,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4692413,DF_E_4692413,LA_0018,data/raw/audio/asvspoof2021_df/audio/DF_E_4692413.flac,0,bonafide,oggm4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4710060,DF_E_4710060,LA_0018,data/raw/audio/asvspoof2021_df/audio/DF_E_4710060.flac,0,bonafide,low_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3053273,DF_E_3053273,TGF1,data/raw/audio/asvspoof2021_df/audio/DF_E_3053273.flac,1,spoof,low_mp3,vcc2020,Task2-team31,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4836947,DF_E_4836947,LA_0023,data/raw/audio/asvspoof2021_df/audio/DF_E_4836947.flac,0,bonafide,oggm4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4701378,DF_E_4701378,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4701378.flac,0,bonafide,mp3m4a,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4526508,DF_E_4526508,TEM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4526508.flac,1,spoof,high_ogg,vcc2020,Task1-team19,notrim,eval,neural_vocoder_nonautoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_3055551,DF_E_3055551,TFM1,data/raw/audio/asvspoof2021_df/audio/DF_E_3055551.flac,0,bonafide,low_ogg,vcc2020,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4732479,DF_E_4732479,TEM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4732479.flac,0,bonafide,high_ogg,vcc2020,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4547306,DF_E_4547306,LA_0028,data/raw/audio/asvspoof2021_df/audio/DF_E_4547306.flac,1,spoof,low_ogg,asvspoof,A17,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4696858,DF_E_4696858,TGM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4696858.flac,1,spoof,high_m4a,vcc2020,Task2-team28,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2994380,DF_E_2994380,TGF1,data/raw/audio/asvspoof2021_df/audio/DF_E_2994380.flac,1,spoof,high_ogg,vcc2020,Task2-team30,notrim,eval,unknown,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4715605,DF_E_4715605,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4715605.flac,1,spoof,high_m4a,vcc2018,HUB-N06,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4831966,DF_E_4831966,VCC2TM2,data/raw/audio/asvspoof2021_df/audio/DF_E_4831966.flac,1,spoof,oggm4a,vcc2018,SPO-N17,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4528071,DF_E_4528071,LA_0027,data/raw/audio/asvspoof2021_df/audio/DF_E_4528071.flac,0,bonafide,oggm4a,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4684466,DF_E_4684466,LA_0016,data/raw/audio/asvspoof2021_df/audio/DF_E_4684466.flac,0,bonafide,high_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2986414,DF_E_2986414,VCC2TF2,data/raw/audio/asvspoof2021_df/audio/DF_E_2986414.flac,1,spoof,low_ogg,vcc2018,HUB-N11,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4536739,DF_E_4536739,VCC2TM2,data/raw/audio/asvspoof2021_df/audio/DF_E_4536739.flac,1,spoof,low_mp3,vcc2018,HUB-N20,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4817624,DF_E_4817624,VCC2TM1,data/raw/audio/asvspoof2021_df/audio/DF_E_4817624.flac,1,spoof,high_mp3,vcc2018,HUB-D01,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4826210,DF_E_4826210,LA_0018,data/raw/audio/asvspoof2021_df/audio/DF_E_4826210.flac,0,bonafide,low_ogg,asvspoof,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4813627,DF_E_4813627,VCC2SM4,data/raw/audio/asvspoof2021_df/audio/DF_E_4813627.flac,0,bonafide,nocodec,vcc2018,-,notrim,eval,bonafide,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_2999763,DF_E_2999763,TEF2,data/raw/audio/asvspoof2021_df/audio/DF_E_2999763.flac,1,spoof,low_m4a,vcc2020,Task1-team26,notrim,eval,traditional_vocoder,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
asvspoof2021_df_DF_E_4723602,DF_E_4723602,LA_0031,data/raw/audio/asvspoof2021_df/audio/DF_E_4723602.flac,1,spoof,oggm4a,asvspoof,A10,notrim,eval,neural_vocoder_autoregressive,,,,,,,,,ASVspoof2021_DF,HuggingFace redistribution,dataset_license
