speaker_id,trial_id,codec,source,attack,label,trim,subset,vocoder,field10,field11,field12,field13,hf_row_index,hf_shard,hf_shard_file
VCC2TM1,DF_E_2964946,oggm4a,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,FM,-,196968,25,test-00025-of-00080.parquet
LA_0014,DF_E_2878301,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,179344,23,test-00023-of-00080.parquet
VCC2SF3,DF_E_2865615,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,176701,23,test-00023-of-00080.parquet
LA_0033,DF_E_4712727,low_ogg,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-,553253,72,test-00072-of-00080.parquet
LA_0011,DF_E_4385462,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,486608,63,test-00063-of-00080.parquet
SEM2,DF_E_3046882,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,213825,27,test-00027-of-00080.parquet
LA_0051,DF_E_4666488,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,543827,71,test-00071-of-00080.parquet
VCC2TM2,DF_E_4247252,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,458399,59,test-00059-of-00080.parquet
VCC2TM2,DF_E_3412290,low_ogg,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,MM,-,288145,37,test-00037-of-00080.parquet
VCC2TM1,DF_E_4669716,low_mp3,vcc2018,HUB-N17,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N17,MM,-,544487,71,test-00071-of-00080.parquet
TGM1,DF_E_3854101,high_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,378228,49,test-00049-of-00080.parquet
VCC2TF2,DF_E_4542594,low_mp3,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,FF,-,518638,67,test-00067-of-00080.parquet
VCC2SF1,DF_E_2033328,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,6762,0,test-00000-of-00080.parquet
LA_0017,DF_E_4406569,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,490934,64,test-00064-of-00080.parquet
LA_0046,DF_E_3027728,mp3m4a,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-,209903,27,test-00027-of-00080.parquet
TMF1,DF_E_3176556,high_ogg,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,MF,M,240293,31,test-00031-of-00080.parquet
TMF1,DF_E_3970021,mp3m4a,vcc2020,Task2-team08,spoof,notrim,eval,traditional_vocoder,Task2,team08,FF,M,401816,52,test-00052-of-00080.parquet
VCC2TM1,DF_E_3914911,high_mp3,vcc2018,HUB-N08,spoof,notrim,eval,traditional_vocoder,HUB,N08,MM,-,390574,51,test-00051-of-00080.parquet
VCC2SF1,DF_E_2974149,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,198887,26,test-00026-of-00080.parquet
TFF1,DF_E_3259550,low_mp3,vcc2020,Task2-team12,spoof,notrim,eval,traditional_vocoder,Task2,team12,MF,F,257180,33,test-00033-of-00080.parquet
LA_0014,DF_E_2251120,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,51211,6,test-00006-of-00080.parquet
VCC2TF2,DF_E_4103973,low_ogg,vcc2018,SPO-N16,spoof,notrim,eval,traditional_vocoder,SPO,N16,FF,-,429159,56,test-00056-of-00080.parquet
TFM1,DF_E_3858958,high_m4a,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,MM,F,379187,49,test-00049-of-00080.parquet
TFM1,DF_E_3156119,oggm4a,vcc2020,Task2-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team31,MM,F,236072,30,test-00030-of-00080.parquet
VCC2TF2,DF_E_3871582,nocodec,vcc2018,HUB-N20,spoof,notrim,eval,traditional_vocoder,HUB,N20,MF,-,381738,49,test-00049-of-00080.parquet
LA_0051,DF_E_2620215,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,126740,16,test-00016-of-00080.parquet
VCC2TF1,DF_E_4458121,low_mp3,vcc2018,HUB-N09,spoof,notrim,eval,traditional_vocoder,HUB,N09,FF,-,501433,65,test-00065-of-00080.parquet
VCC2TM2,DF_E_4078389,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,423876,55,test-00055-of-00080.parquet
VCC2TM2,DF_E_4763960,low_mp3,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FM,-,563644,73,test-00073-of-00080.parquet
VCC2TF1,DF_E_2339845,low_mp3,vcc2018,SPO-N05,spoof,notrim,eval,traditional_vocoder,SPO,N05,FF,-,69265,9,test-00009-of-00080.parquet
LA_0033,DF_E_4238399,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,456536,59,test-00059-of-00080.parquet
TGM1,DF_E_4303799,low_m4a,vcc2020,Task2-team15,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team15,MM,G,469823,61,test-00061-of-00080.parquet
VCC2TF2,DF_E_3715478,high_m4a,vcc2018,HUB-N08,spoof,notrim,eval,traditional_vocoder,HUB,N08,FF,-,350226,45,test-00045-of-00080.parquet
LA_0015,DF_E_2667085,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,136300,17,test-00017-of-00080.parquet
LA_0028,DF_E_4476637,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,505206,66,test-00066-of-00080.parquet
VCC2TM1,DF_E_4225119,low_ogg,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,MM,-,453819,59,test-00059-of-00080.parquet
LA_0005,DF_E_3024545,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,209254,27,test-00027-of-00080.parquet
LA_0028,DF_E_3090532,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,222698,29,test-00029-of-00080.parquet
LA_0039,DF_E_3983129,nocodec,asvspoof,A10,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,404452,52,test-00052-of-00080.parquet
LA_0049,DF_E_4302284,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,469522,61,test-00061-of-00080.parquet
TEF1,DF_E_3178006,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,240605,31,test-00031-of-00080.parquet
TEM2,DF_E_3394559,low_mp3,vcc2020,Task1-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team11,FM,E,284623,37,test-00037-of-00080.parquet
VCC2TF1,DF_E_2783875,low_ogg,vcc2018,SPO-N12,spoof,notrim,eval,traditional_vocoder,SPO,N12,FF,-,159967,20,test-00020-of-00080.parquet
TGF1,DF_E_3953883,mp3m4a,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,FF,G,398594,52,test-00052-of-00080.parquet
LA_0002,DF_E_3987070,low_mp3,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,405226,52,test-00052-of-00080.parquet
VCC2TM2,DF_E_2536770,nocodec,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FM,-,109631,14,test-00014-of-00080.parquet
TFF1,DF_E_4142531,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,437004,57,test-00057-of-00080.parquet
TFM1,DF_E_2337613,high_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,68842,9,test-00009-of-00080.parquet
VCC2TM2,DF_E_2531753,low_ogg,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,FM,-,108590,14,test-00014-of-00080.parquet
LA_0046,DF_E_3137918,low_ogg,asvspoof,A15,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,232305,30,test-00030-of-00080.parquet
VCC2TM2,DF_E_4082407,mp3m4a,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,FM,-,424705,55,test-00055-of-00080.parquet
TGM1,DF_E_2998426,high_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,203918,26,test-00026-of-00080.parquet
VCC2SF2,DF_E_4616623,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,533630,69,test-00069-of-00080.parquet
TEF2,DF_E_2802020,nocodec,vcc2020,Task1-team13,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team13,MF,E,163571,21,test-00021-of-00080.parquet
LA_0004,DF_E_4925041,nocodec,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-,596567,78,test-00078-of-00080.parquet
LA_0045,DF_E_2750993,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,153224,20,test-00020-of-00080.parquet
TEM2,DF_E_2390578,high_ogg,vcc2020,Task1-team23,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team23,MM,E,79529,10,test-00010-of-00080.parquet
VCC2TM2,DF_E_4660608,low_mp3,vcc2018,HUB-N15,spoof,notrim,eval,traditional_vocoder,HUB,N15,FM,-,542616,70,test-00070-of-00080.parquet
LA_0042,DF_E_4660631,oggm4a,asvspoof,A19,spoof,notrim,eval,traditional_vocoder,-,-,-,-,542624,70,test-00070-of-00080.parquet
LA_0033,DF_E_4001453,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,408200,53,test-00053-of-00080.parquet
LA_0046,DF_E_4725252,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,555839,72,test-00072-of-00080.parquet
VCC2TM2,DF_E_4695008,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,549661,71,test-00071-of-00080.parquet
TMM1,DF_E_3335958,low_m4a,vcc2020,Task2-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team20,MM,M,272534,35,test-00035-of-00080.parquet
LA_0026,DF_E_4992995,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,610403,79,test-00079-of-00080.parquet
LA_0049,DF_E_3636010,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,334028,43,test-00043-of-00080.parquet
LA_0045,DF_E_2674615,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,137849,18,test-00018-of-00080.parquet
VCC2SM1,DF_E_3395141,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,284731,37,test-00037-of-00080.parquet
VCC2SM4,DF_E_3470340,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,300109,39,test-00039-of-00080.parquet
LA_0018,DF_E_3497935,low_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,305814,39,test-00039-of-00080.parquet
LA_0014,DF_E_4777584,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,566294,74,test-00074-of-00080.parquet
VCC2TM1,DF_E_4015834,low_m4a,vcc2018,HUB-N11,spoof,notrim,eval,traditional_vocoder,HUB,N11,MM,-,411082,53,test-00053-of-00080.parquet
VCC2TM2,DF_E_2911388,high_m4a,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,FM,-,185988,24,test-00024-of-00080.parquet
TGF1,DF_E_2807406,nocodec,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,FF,G,164698,21,test-00021-of-00080.parquet
LA_0054,DF_E_3235333,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,252239,32,test-00032-of-00080.parquet
VCC2SM2,DF_E_4202528,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,449215,58,test-00058-of-00080.parquet
VCC2TF1,DF_E_4273738,high_m4a,vcc2018,SPO-B01,spoof,notrim,eval,traditional_vocoder,SPO,B01,FF,-,463805,60,test-00060-of-00080.parquet
LA_0048,DF_E_4428003,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,495296,64,test-00064-of-00080.parquet
VCC2SF2,DF_E_3141150,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,232937,30,test-00030-of-00080.parquet
TGF1,DF_E_3949740,low_ogg,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,MF,G,397751,52,test-00052-of-00080.parquet
VCC2TM1,DF_E_3016443,nocodec,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,FM,-,207602,27,test-00027-of-00080.parquet
LA_0001,DF_E_3365625,high_m4a,asvspoof,A09,spoof,notrim,eval,traditional_vocoder,-,-,-,-,278683,36,test-00036-of-00080.parquet
TEM1,DF_E_2556831,high_m4a,vcc2020,Task1-team28,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team28,FM,E,113721,14,test-00014-of-00080.parquet
TGF1,DF_E_4171146,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,442854,57,test-00057-of-00080.parquet
VCC2SM4,DF_E_3464308,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,298857,39,test-00039-of-00080.parquet
TGF1,DF_E_3322754,low_mp3,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,FF,G,269850,35,test-00035-of-00080.parquet
VCC2SF1,DF_E_2290822,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,59241,7,test-00007-of-00080.parquet
VCC2SF1,DF_E_3476887,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,301499,39,test-00039-of-00080.parquet
TGM1,DF_E_3782031,high_mp3,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,FM,G,363615,47,test-00047-of-00080.parquet
VCC2SF3,DF_E_4444349,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,498601,65,test-00065-of-00080.parquet
VCC2TF1,DF_E_2607803,oggm4a,vcc2018,HUB-D04,spoof,notrim,eval,traditional_vocoder,HUB,D04,MF,-,124163,16,test-00016-of-00080.parquet
VCC2TF1,DF_E_4831007,nocodec,vcc2018,HUB-D04,spoof,notrim,eval,traditional_vocoder,HUB,D04,FF,-,577326,75,test-00075-of-00080.parquet
LA_0045,DF_E_4262420,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,461544,60,test-00060-of-00080.parquet
TEM1,DF_E_3363446,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,278234,36,test-00036-of-00080.parquet
TEF2,DF_E_3514408,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,309186,40,test-00040-of-00080.parquet
TFM1,DF_E_3141471,high_ogg,vcc2020,Task2-team30,spoof,notrim,eval,unknown,Task2,team30,FM,F,233014,30,test-00030-of-00080.parquet
TMF1,DF_E_2136234,oggm4a,vcc2020,Task2-team03,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team03,MF,M,27699,3,test-00003-of-00080.parquet
VCC2TF1,DF_E_2198801,oggm4a,vcc2018,HUB-B00,spoof,notrim,eval,unknown,HUB,B00,FF,-,40638,5,test-00005-of-00080.parquet
VCC2TM2,DF_E_2313390,mp3m4a,vcc2018,HUB-N16,spoof,notrim,eval,traditional_vocoder,HUB,N16,MM,-,63854,8,test-00008-of-00080.parquet
TEF1,DF_E_4026714,low_mp3,vcc2020,Task1-team07,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team07,MF,E,413305,54,test-00054-of-00080.parquet
TFM1,DF_E_3137236,high_ogg,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,FM,F,232165,30,test-00030-of-00080.parquet
LA_0003,DF_E_3486888,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,303569,39,test-00039-of-00080.parquet
VCC2TF1,DF_E_2781446,mp3m4a,vcc2018,HUB-N05,spoof,notrim,eval,traditional_vocoder,HUB,N05,FF,-,159472,20,test-00020-of-00080.parquet
TEF2,DF_E_4143435,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,437203,57,test-00057-of-00080.parquet
TGF1,DF_E_2392857,low_ogg,vcc2020,Task2-team08,spoof,notrim,eval,traditional_vocoder,Task2,team08,FF,G,79994,10,test-00010-of-00080.parquet
LA_0041,DF_E_3490728,low_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,304323,39,test-00039-of-00080.parquet
VCC2SF3,DF_E_2677272,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,138399,18,test-00018-of-00080.parquet
LA_0021,DF_E_4116882,high_ogg,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,431776,56,test-00056-of-00080.parquet
LA_0011,DF_E_4190631,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,446777,58,test-00058-of-00080.parquet
VCC2TM1,DF_E_4552668,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,520666,68,test-00068-of-00080.parquet
TFM1,DF_E_2720130,mp3m4a,vcc2020,Task2-team19,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team19,MM,F,147027,19,test-00019-of-00080.parquet
LA_0018,DF_E_3650975,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,337167,44,test-00044-of-00080.parquet
LA_0002,DF_E_3287170,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,262725,34,test-00034-of-00080.parquet
TFF1,DF_E_3237437,high_mp3,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,FF,F,252676,33,test-00033-of-00080.parquet
LA_0015,DF_E_4474175,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,504698,65,test-00065-of-00080.parquet
VCC2SM1,DF_E_2450412,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,91911,12,test-00012-of-00080.parquet
VCC2SM1,DF_E_2951843,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,194301,25,test-00025-of-00080.parquet
VCC2TF2,DF_E_2597289,mp3m4a,vcc2018,SPO-N16,spoof,notrim,eval,traditional_vocoder,SPO,N16,FF,-,121998,15,test-00015-of-00080.parquet
LA_0034,DF_E_4067981,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,421753,55,test-00055-of-00080.parquet
LA_0043,DF_E_2309332,low_ogg,asvspoof,A17,spoof,notrim,eval,traditional_vocoder,-,-,-,-,63024,8,test-00008-of-00080.parquet
LA_0044,DF_E_3916724,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,390941,51,test-00051-of-00080.parquet
TEF1,DF_E_3207810,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,246597,32,test-00032-of-00080.parquet
TGM1,DF_E_2098160,high_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,19938,2,test-00002-of-00080.parquet
VCC2TF2,DF_E_4434973,high_mp3,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,FF,-,496702,64,test-00064-of-00080.parquet
VCC2TF1,DF_E_4156401,oggm4a,vcc2018,HUB-N10,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N10,FF,-,439861,57,test-00057-of-00080.parquet
TMM1,DF_E_2645301,low_mp3,vcc2020,Task2-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team31,FM,M,131900,17,test-00017-of-00080.parquet
TMF1,DF_E_4726123,mp3m4a,vcc2020,Task2-team12,spoof,notrim,eval,traditional_vocoder,Task2,team12,MF,M,556013,72,test-00072-of-00080.parquet
TEF2,DF_E_4611443,high_ogg,vcc2020,Task1-team27,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team27,MF,E,532545,69,test-00069-of-00080.parquet
VCC2SF3,DF_E_3849096,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,377158,49,test-00049-of-00080.parquet
TFM1,DF_E_4444168,mp3m4a,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,FM,F,498564,65,test-00065-of-00080.parquet
LA_0028,DF_E_3142051,high_mp3,asvspoof,A09,spoof,notrim,eval,traditional_vocoder,-,-,-,-,233129,30,test-00030-of-00080.parquet
LA_0027,DF_E_2550213,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,112416,14,test-00014-of-00080.parquet
TEF2,DF_E_4720829,oggm4a,vcc2020,Task1-team25,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team25,MF,E,554953,72,test-00072-of-00080.parquet
