speaker_id,trial_id,codec,source,attack,label_raw,trim,subset,vocoder,field10,field11,field12,field13,hf_label,position,shard,hf_shard,hf_shard_file
TMM1,DF_E_4697215,low_ogg,vcc2020,Task2-team13,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team13,MM,M,1,550105,71,71,test-00071-of-00080.parquet
LA_0028,DF_E_4696378,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,549920,71,71,test-00071-of-00080.parquet
TEM1,DF_E_4709629,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,552629,72,72,test-00072-of-00080.parquet
VCC2TM1,DF_E_4824764,low_ogg,vcc2018,HUB-N17,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N17,MM,-,1,575994,75,75,test-00075-of-00080.parquet
VCC2SM2,DF_E_4834380,mp3m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,578027,75,75,test-00075-of-00080.parquet
LA_0005,DF_E_4668318,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,544191,71,71,test-00071-of-00080.parquet
TEM2,DF_E_4542427,high_ogg,vcc2020,Task1-team24,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team24,MM,E,1,518601,67,67,test-00067-of-00080.parquet
LA_0001,DF_E_4730092,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,556839,72,72,test-00072-of-00080.parquet
LA_0007,DF_E_4676367,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,545875,71,71,test-00071-of-00080.parquet
LA_0045,DF_E_4707935,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,552271,72,72,test-00072-of-00080.parquet
LA_0002,DF_E_3055838,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,215654,28,28,test-00028-of-00080.parquet
VCC2TM2,DF_E_3010000,low_mp3,vcc2018,HUB-N09,spoof,notrim,eval,traditional_vocoder,HUB,N09,FM,-,1,206269,26,26,test-00026-of-00080.parquet
TEF1,DF_E_4514478,low_ogg,vcc2020,Task1-team21,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team21,MF,E,1,512968,67,67,test-00067-of-00080.parquet
VCC2TF1,DF_E_4549163,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,519955,67,67,test-00067-of-00080.parquet
LA_0026,DF_E_4688617,low_ogg,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,1,548358,71,71,test-00071-of-00080.parquet
VCC2SM3,DF_E_4667844,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,544085,71,71,test-00071-of-00080.parquet
LA_0045,DF_E_3076416,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,219899,28,28,test-00028-of-00080.parquet
VCC2TM1,DF_E_4847196,low_m4a,vcc2018,HUB-D05,spoof,notrim,eval,traditional_vocoder,HUB,D05,FM,-,1,580604,75,75,test-00075-of-00080.parquet
TEF1,DF_E_4512979,high_mp3,vcc2020,Task1-team07,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team07,FF,E,1,512643,67,67,test-00067-of-00080.parquet
LA_0030,DF_E_4720283,low_ogg,asvspoof,A08,spoof,notrim,eval,neural_vocoder_nonautoregressive,-,-,-,-,1,554841,72,72,test-00072-of-00080.parquet
VCC2TF1,DF_E_2988687,high_mp3,vcc2018,HUB-N19,spoof,notrim,eval,traditional_vocoder,HUB,N19,FF,-,1,201819,26,26,test-00026-of-00080.parquet
LA_0023,DF_E_4716506,low_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,554033,72,72,test-00072-of-00080.parquet
LA_0028,DF_E_4674023,low_m4a,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-,1,545378,71,71,test-00071-of-00080.parquet
SEM1,DF_E_2992361,oggm4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,202602,26,26,test-00026-of-00080.parquet
TEM1,DF_E_2974031,low_m4a,vcc2020,Task1-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team31,FM,E,1,198865,26,26,test-00026-of-00080.parquet
VCC2TF2,DF_E_2982599,mp3m4a,vcc2018,SPO-N16,spoof,notrim,eval,traditional_vocoder,SPO,N16,MF,-,1,200579,26,26,test-00026-of-00080.parquet
LA_0003,DF_E_4681220,oggm4a,asvspoof,A12,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,1,546844,71,71,test-00071-of-00080.parquet
VCC2TM1,DF_E_4680873,high_ogg,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,MM,-,1,546779,71,71,test-00071-of-00080.parquet
LA_0018,DF_E_4719648,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,554699,72,72,test-00072-of-00080.parquet
TEF1,DF_E_4664709,high_m4a,vcc2020,Task1-team24,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team24,MF,E,1,543485,71,71,test-00071-of-00080.parquet
TFF1,DF_E_4664647,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,543469,71,71,test-00071-of-00080.parquet
VCC2TF2,DF_E_4814756,high_mp3,vcc2018,HUB-D05,spoof,notrim,eval,traditional_vocoder,HUB,D05,MF,-,1,573945,75,75,test-00075-of-00080.parquet
TEF2,DF_E_3079353,nocodec,vcc2020,Task1-team12,spoof,notrim,eval,traditional_vocoder,Task1,team12,FF,E,1,220474,28,28,test-00028-of-00080.parquet
VCC2SM1,DF_E_3055341,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,215549,28,28,test-00028-of-00080.parquet
VCC2TF1,DF_E_4841588,high_m4a,vcc2018,SPO-N18,spoof,notrim,eval,traditional_vocoder,SPO,N18,FF,-,1,579501,75,75,test-00075-of-00080.parquet
TMF1,DF_E_4703093,high_mp3,vcc2020,Task2-team32,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team32,MF,M,1,551307,72,72,test-00072-of-00080.parquet
LA_0018,DF_E_4692413,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,549133,71,71,test-00071-of-00080.parquet
LA_0018,DF_E_4710060,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,552705,72,72,test-00072-of-00080.parquet
TGF1,DF_E_3053273,low_mp3,vcc2020,Task2-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team31,FF,G,1,215127,28,28,test-00028-of-00080.parquet
LA_0023,DF_E_4836947,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,578525,75,75,test-00075-of-00080.parquet
VCC2TM1,DF_E_4701378,mp3m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,550957,72,72,test-00072-of-00080.parquet
TEM1,DF_E_4526508,high_ogg,vcc2020,Task1-team19,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team19,FM,E,1,515375,67,67,test-00067-of-00080.parquet
TFM1,DF_E_3055551,low_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,215592,28,28,test-00028-of-00080.parquet
TEM1,DF_E_4732479,high_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,557284,72,72,test-00072-of-00080.parquet
LA_0028,DF_E_4547306,low_ogg,asvspoof,A17,spoof,notrim,eval,traditional_vocoder,-,-,-,-,1,519568,67,67,test-00067-of-00080.parquet
TGM1,DF_E_4696858,high_m4a,vcc2020,Task2-team28,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team28,FM,G,1,550028,71,71,test-00071-of-00080.parquet
TGF1,DF_E_2994380,high_ogg,vcc2020,Task2-team30,spoof,notrim,eval,unknown,Task2,team30,MF,G,1,203032,26,26,test-00026-of-00080.parquet
VCC2TM1,DF_E_4715605,high_m4a,vcc2018,HUB-N06,spoof,notrim,eval,traditional_vocoder,HUB,N06,FM,-,1,553855,72,72,test-00072-of-00080.parquet
VCC2TM2,DF_E_4831966,oggm4a,vcc2018,SPO-N17,spoof,notrim,eval,neural_vocoder_autoregressive,SPO,N17,MM,-,1,577533,75,75,test-00075-of-00080.parquet
LA_0027,DF_E_4528071,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,515717,67,67,test-00067-of-00080.parquet
LA_0016,DF_E_4684466,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,547497,71,71,test-00071-of-00080.parquet
VCC2TF2,DF_E_2986414,low_ogg,vcc2018,HUB-N11,spoof,notrim,eval,traditional_vocoder,HUB,N11,FF,-,1,201348,26,26,test-00026-of-00080.parquet
VCC2TM2,DF_E_4536739,low_mp3,vcc2018,HUB-N20,spoof,notrim,eval,traditional_vocoder,HUB,N20,MM,-,1,517475,67,67,test-00067-of-00080.parquet
VCC2TM1,DF_E_4817624,high_mp3,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,MM,-,1,574523,75,75,test-00075-of-00080.parquet
LA_0018,DF_E_4826210,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,576323,75,75,test-00075-of-00080.parquet
VCC2SM4,DF_E_4813627,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,573693,75,75,test-00075-of-00080.parquet
TEF2,DF_E_2999763,low_m4a,vcc2020,Task1-team26,spoof,notrim,eval,traditional_vocoder,Task1,team26,FF,E,1,204215,26,26,test-00026-of-00080.parquet
LA_0031,DF_E_4723602,oggm4a,asvspoof,A10,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-,1,555521,72,72,test-00072-of-00080.parquet
VCC2SM2,DF_E_4669024,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,544341,71,71,test-00071-of-00080.parquet
VCC2TM1,DF_E_4731761,high_m4a,vcc2018,HUB-N09,spoof,notrim,eval,traditional_vocoder,HUB,N09,FM,-,1,557149,72,72,test-00072-of-00080.parquet
VCC2TM2,DF_E_4691346,low_m4a,vcc2018,SPO-N17,spoof,notrim,eval,neural_vocoder_autoregressive,SPO,N17,FM,-,1,548924,71,71,test-00071-of-00080.parquet
VCC2TF1,DF_E_3050777,mp3m4a,vcc2018,HUB-N08,spoof,notrim,eval,traditional_vocoder,HUB,N08,MF,-,1,214622,28,28,test-00028-of-00080.parquet
LA_0003,DF_E_3072915,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,219231,28,28,test-00028-of-00080.parquet
VCC2SM2,DF_E_4837700,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,578662,75,75,test-00075-of-00080.parquet
SEF1,DF_E_4539853,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,518093,67,67,test-00067-of-00080.parquet
TEM2,DF_E_2981579,high_m4a,vcc2020,Task1-team10,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team10,MM,E,1,200386,26,26,test-00026-of-00080.parquet
LA_0044,DF_E_4531798,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,516449,67,67,test-00067-of-00080.parquet
SEM1,DF_E_4524178,oggm4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,514905,67,67,test-00067-of-00080.parquet
LA_0036,DF_E_3006038,high_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,205474,26,26,test-00026-of-00080.parquet
LA_0036,DF_E_2998578,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,203962,26,26,test-00026-of-00080.parquet
VCC2SM4,DF_E_4677791,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,546159,71,71,test-00071-of-00080.parquet
SEF2,DF_E_4703813,low_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,551459,72,72,test-00072-of-00080.parquet
TGF1,DF_E_4705331,high_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,551753,72,72,test-00072-of-00080.parquet
TGF1,DF_E_4545045,low_mp3,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,MF,G,1,519121,67,67,test-00067-of-00080.parquet
TEF1,DF_E_4528698,low_m4a,vcc2020,Task1-team11,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team11,MF,E,1,515847,67,67,test-00067-of-00080.parquet
TEM2,DF_E_4696686,low_m4a,vcc2020,Task1-team28,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team28,MM,E,1,549996,71,71,test-00071-of-00080.parquet
LA_0039,DF_E_2988317,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,201748,26,26,test-00026-of-00080.parquet
VCC2TF1,DF_E_2979684,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,199998,26,26,test-00026-of-00080.parquet
TEF2,DF_E_2983713,nocodec,vcc2020,Task1-team08,spoof,notrim,eval,traditional_vocoder,Task1,team08,FF,E,1,200824,26,26,test-00026-of-00080.parquet
VCC2SF1,DF_E_4826045,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,576292,75,75,test-00075-of-00080.parquet
LA_0046,DF_E_4835684,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,578265,75,75,test-00075-of-00080.parquet
VCC2TF1,DF_E_4711224,low_ogg,vcc2018,HUB-N10,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N10,FF,-,1,552926,72,72,test-00072-of-00080.parquet
TGM1,DF_E_4539706,oggm4a,vcc2020,Task2-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team20,FM,G,1,518069,67,67,test-00067-of-00080.parquet
VCC2TM1,DF_E_4842832,low_m4a,vcc2018,HUB-N14,spoof,notrim,eval,traditional_vocoder,HUB,N14,MM,-,1,579741,75,75,test-00075-of-00080.parquet
VCC2TF2,DF_E_4516558,high_ogg,vcc2018,HUB-D03,spoof,notrim,eval,traditional_vocoder,HUB,D03,MF,-,1,513390,67,67,test-00067-of-00080.parquet
VCC2TF2,DF_E_4826193,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,576320,75,75,test-00075-of-00080.parquet
LA_0018,DF_E_2975421,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,199132,26,26,test-00026-of-00080.parquet
TEF1,DF_E_4733922,low_ogg,vcc2020,Task1-team07,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team07,MF,E,1,557568,72,72,test-00072-of-00080.parquet
VCC2SF3,DF_E_4523724,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,514812,67,67,test-00067-of-00080.parquet
LA_0030,DF_E_4683848,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,547370,71,71,test-00071-of-00080.parquet
TEM1,DF_E_4727230,low_ogg,vcc2020,Task1-team28,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team28,MM,E,1,556250,72,72,test-00072-of-00080.parquet
LA_0011,DF_E_4675695,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,545730,71,71,test-00071-of-00080.parquet
VCC2TM2,DF_E_4723293,high_ogg,vcc2018,HUB-N11,spoof,notrim,eval,traditional_vocoder,HUB,N11,MM,-,1,555460,72,72,test-00072-of-00080.parquet
VCC2TM2,DF_E_2976372,high_m4a,vcc2018,HUB-N09,spoof,notrim,eval,traditional_vocoder,HUB,N09,FM,-,1,199310,26,26,test-00026-of-00080.parquet
LA_0010,DF_E_4678692,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,546345,71,71,test-00071-of-00080.parquet
LA_0008,DF_E_4713061,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,553325,72,72,test-00072-of-00080.parquet
VCC2SF3,DF_E_4729012,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,556619,72,72,test-00072-of-00080.parquet
VCC2TM2,DF_E_3075576,high_m4a,vcc2018,SPO-N05,spoof,notrim,eval,traditional_vocoder,SPO,N05,FM,-,1,219736,28,28,test-00028-of-00080.parquet
VCC2TM2,DF_E_3009297,oggm4a,vcc2018,HUB-D02,spoof,notrim,eval,traditional_vocoder,HUB,D02,MM,-,1,206135,26,26,test-00026-of-00080.parquet
VCC2TM2,DF_E_2983562,high_ogg,vcc2018,SPO-N16,spoof,notrim,eval,traditional_vocoder,SPO,N16,MM,-,1,200794,26,26,test-00026-of-00080.parquet
VCC2TF2,DF_E_3008320,mp3m4a,vcc2018,SPO-N13,spoof,notrim,eval,traditional_vocoder,SPO,N13,FF,-,1,205947,26,26,test-00026-of-00080.parquet
TFF1,DF_E_4835546,high_mp3,vcc2020,Task2-team29,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team29,MF,F,1,578245,75,75,test-00075-of-00080.parquet
TFF1,DF_E_4838250,high_ogg,vcc2020,Task2-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team20,FF,F,1,578775,75,75,test-00075-of-00080.parquet
SEM1,DF_E_4684341,low_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,547468,71,71,test-00071-of-00080.parquet
TGF1,DF_E_4545585,nocodec,vcc2020,Task2-team33,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team33,MF,G,1,519223,67,67,test-00067-of-00080.parquet
TFM1,DF_E_4820741,low_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,575160,75,75,test-00075-of-00080.parquet
TEF1,DF_E_4725463,oggm4a,vcc2020,Task1-team18,spoof,notrim,eval,unknown,Task1,team18,MF,E,1,555877,72,72,test-00072-of-00080.parquet
TEM1,DF_E_4681321,oggm4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,546863,71,71,test-00071-of-00080.parquet
LA_0028,DF_E_2998431,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,203920,26,26,test-00026-of-00080.parquet
TEM2,DF_E_4679937,oggm4a,vcc2020,Task1-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team20,MM,E,1,546587,71,71,test-00071-of-00080.parquet
LA_0048,DF_E_4677067,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,546018,71,71,test-00071-of-00080.parquet
VCC2TF2,DF_E_4820670,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,575148,75,75,test-00075-of-00080.parquet
VCC2TM2,DF_E_4699897,oggm4a,vcc2018,HUB-N04,spoof,notrim,eval,traditional_vocoder,HUB,N04,FM,-,1,550647,71,71,test-00071-of-00080.parquet
VCC2TF1,DF_E_3073418,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,219343,28,28,test-00028-of-00080.parquet
LA_0066,DF_E_4525858,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,515244,67,67,test-00067-of-00080.parquet
VCC2TF2,DF_E_2974380,high_mp3,vcc2018,SPO-N17,spoof,notrim,eval,neural_vocoder_autoregressive,SPO,N17,MF,-,1,198931,26,26,test-00026-of-00080.parquet
LA_0001,DF_E_4823299,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,575644,75,75,test-00075-of-00080.parquet
LA_0030,DF_E_4679868,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,546570,71,71,test-00071-of-00080.parquet
VCC2TM1,DF_E_4827987,mp3m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,576699,75,75,test-00075-of-00080.parquet
VCC2TF1,DF_E_4679057,high_mp3,vcc2018,SPO-N16,spoof,notrim,eval,traditional_vocoder,SPO,N16,MF,-,1,546415,71,71,test-00071-of-00080.parquet
VCC2SF1,DF_E_4699263,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,550526,71,71,test-00071-of-00080.parquet
VCC2TF2,DF_E_4700087,nocodec,vcc2018,HUB-N14,spoof,notrim,eval,traditional_vocoder,HUB,N14,FF,-,1,550686,72,72,test-00072-of-00080.parquet
VCC2SF1,DF_E_4711926,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,553090,72,72,test-00072-of-00080.parquet
TFF1,DF_E_4822289,mp3m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,575469,75,75,test-00075-of-00080.parquet
VCC2TM2,DF_E_3059090,oggm4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-,0,216346,28,28,test-00028-of-00080.parquet
VCC2TF1,DF_E_4683737,high_ogg,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,MF,-,1,547351,71,71,test-00071-of-00080.parquet
