speaker_id,trial_id,codec,source,attack,label,trim,subset,vocoder,field10,field11,field12,field13
VCC2TF1,DF_E_2783875,low_ogg,vcc2018,SPO-N12,spoof,notrim,eval,traditional_vocoder,SPO,N12,FF,-
TGF1,DF_E_3953883,mp3m4a,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,FF,G
LA_0002,DF_E_3987070,low_mp3,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-
VCC2TM2,DF_E_2536770,nocodec,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FM,-
TFF1,DF_E_4142531,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFM1,DF_E_2337613,high_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_2531753,low_ogg,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,FM,-
LA_0046,DF_E_3137918,low_ogg,asvspoof,A15,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-
VCC2TM2,DF_E_4082407,mp3m4a,vcc2018,HUB-N07,spoof,notrim,eval,traditional_vocoder,HUB,N07,FM,-
TGM1,DF_E_2998426,high_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF2,DF_E_4616623,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEF2,DF_E_2802020,nocodec,vcc2020,Task1-team13,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team13,MF,E
LA_0004,DF_E_4925041,nocodec,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-
LA_0045,DF_E_2750993,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_2390578,high_ogg,vcc2020,Task1-team23,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team23,MM,E
VCC2TM2,DF_E_4660608,low_mp3,vcc2018,HUB-N15,spoof,notrim,eval,traditional_vocoder,HUB,N15,FM,-
LA_0042,DF_E_4660631,oggm4a,asvspoof,A19,spoof,notrim,eval,traditional_vocoder,-,-,-,-
LA_0033,DF_E_4001453,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0046,DF_E_4725252,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_4695008,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TMM1,DF_E_3335958,low_m4a,vcc2020,Task2-team20,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team20,MM,M
LA_0026,DF_E_4992995,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0049,DF_E_3636010,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0045,DF_E_2674615,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM1,DF_E_3395141,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM4,DF_E_3470340,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_3497935,low_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0014,DF_E_4777584,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_4015834,low_m4a,vcc2018,HUB-N11,spoof,notrim,eval,traditional_vocoder,HUB,N11,MM,-
VCC2TM2,DF_E_2911388,high_m4a,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,FM,-
TGF1,DF_E_2807406,nocodec,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,FF,G
LA_0054,DF_E_3235333,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM2,DF_E_4202528,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF1,DF_E_4273738,high_m4a,vcc2018,SPO-B01,spoof,notrim,eval,traditional_vocoder,SPO,B01,FF,-
LA_0048,DF_E_4428003,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF2,DF_E_3141150,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TGF1,DF_E_3949740,low_ogg,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,MF,G
VCC2TM1,DF_E_3016443,nocodec,vcc2018,SPO-N06,spoof,notrim,eval,traditional_vocoder,SPO,N06,FM,-
LA_0001,DF_E_3365625,high_m4a,asvspoof,A09,spoof,notrim,eval,traditional_vocoder,-,-,-,-
TEM1,DF_E_2556831,high_m4a,vcc2020,Task1-team28,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team28,FM,E
TGF1,DF_E_4171146,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM4,DF_E_3464308,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TGF1,DF_E_3322754,low_mp3,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,FF,G
VCC2SF1,DF_E_2290822,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF1,DF_E_3476887,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TGM1,DF_E_3782031,high_mp3,vcc2020,Task2-team22,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team22,FM,G
VCC2SF3,DF_E_4444349,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF1,DF_E_2607803,oggm4a,vcc2018,HUB-D04,spoof,notrim,eval,traditional_vocoder,HUB,D04,MF,-
VCC2TF1,DF_E_4831007,nocodec,vcc2018,HUB-D04,spoof,notrim,eval,traditional_vocoder,HUB,D04,FF,-
LA_0045,DF_E_4262420,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM1,DF_E_3363446,low_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEF2,DF_E_3514408,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFM1,DF_E_3141471,high_ogg,vcc2020,Task2-team30,spoof,notrim,eval,unknown,Task2,team30,FM,F
TMF1,DF_E_2136234,oggm4a,vcc2020,Task2-team03,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team03,MF,M
VCC2TF1,DF_E_2198801,oggm4a,vcc2018,HUB-B00,spoof,notrim,eval,unknown,HUB,B00,FF,-
VCC2TM2,DF_E_2313390,mp3m4a,vcc2018,HUB-N16,spoof,notrim,eval,traditional_vocoder,HUB,N16,MM,-
TEF1,DF_E_4026714,low_mp3,vcc2020,Task1-team07,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team07,MF,E
TFM1,DF_E_3137236,high_ogg,vcc2020,Task2-team02,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team02,FM,F
LA_0003,DF_E_3486888,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF1,DF_E_2781446,mp3m4a,vcc2018,HUB-N05,spoof,notrim,eval,traditional_vocoder,HUB,N05,FF,-
TEF2,DF_E_4143435,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
TGF1,DF_E_2392857,low_ogg,vcc2020,Task2-team08,spoof,notrim,eval,traditional_vocoder,Task2,team08,FF,G
LA_0041,DF_E_3490728,low_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF3,DF_E_2677272,low_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0021,DF_E_4116882,high_ogg,asvspoof,A07,spoof,notrim,eval,traditional_vocoder,-,-,-,-
LA_0011,DF_E_4190631,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_4552668,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFM1,DF_E_2720130,mp3m4a,vcc2020,Task2-team19,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team19,MM,F
LA_0018,DF_E_3650975,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0002,DF_E_3287170,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_3237437,high_mp3,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,FF,F
LA_0015,DF_E_4474175,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM1,DF_E_2450412,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM1,DF_E_2951843,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF2,DF_E_2597289,mp3m4a,vcc2018,SPO-N16,spoof,notrim,eval,traditional_vocoder,SPO,N16,FF,-
LA_0034,DF_E_4067981,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0043,DF_E_2309332,low_ogg,asvspoof,A17,spoof,notrim,eval,traditional_vocoder,-,-,-,-
LA_0044,DF_E_3916724,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEF1,DF_E_3207810,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
TGM1,DF_E_2098160,high_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF2,DF_E_4434973,high_mp3,vcc2018,HUB-N18,spoof,notrim,eval,traditional_vocoder,HUB,N18,FF,-
VCC2TF1,DF_E_4156401,oggm4a,vcc2018,HUB-N10,spoof,notrim,eval,neural_vocoder_autoregressive,HUB,N10,FF,-
TMM1,DF_E_2645301,low_mp3,vcc2020,Task2-team31,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team31,FM,M
TMF1,DF_E_4726123,mp3m4a,vcc2020,Task2-team12,spoof,notrim,eval,traditional_vocoder,Task2,team12,MF,M
TEF2,DF_E_4611443,high_ogg,vcc2020,Task1-team27,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team27,MF,E
VCC2SF3,DF_E_3849096,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFM1,DF_E_4444168,mp3m4a,vcc2020,Task2-team18,spoof,notrim,eval,unknown,Task2,team18,FM,F
LA_0028,DF_E_3142051,high_mp3,asvspoof,A09,spoof,notrim,eval,traditional_vocoder,-,-,-,-
LA_0027,DF_E_2550213,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEF2,DF_E_4720829,oggm4a,vcc2020,Task1-team25,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team25,MF,E
TMF1,DF_E_2900173,nocodec,vcc2020,Task2-team29,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team29,FF,M
VCC2SF4,DF_E_3625962,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_2163428,high_ogg,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,FF,F
LA_0015,DF_E_2478480,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_3051948,low_m4a,vcc2020,Task1-team26,spoof,notrim,eval,traditional_vocoder,Task1,team26,FM,E
LA_0014,DF_E_2280317,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_4190744,low_ogg,vcc2018,SPO-N17,spoof,notrim,eval,neural_vocoder_autoregressive,SPO,N17,MM,-
TGM1,DF_E_4004007,high_ogg,vcc2020,Task2-team27,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task2,team27,MM,G
VCC2TM2,DF_E_4464178,nocodec,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2620571,nocodec,vcc2018,HUB-N15,spoof,notrim,eval,traditional_vocoder,HUB,N15,FM,-
VCC2TM2,DF_E_4841542,high_mp3,vcc2018,HUB-N19,spoof,notrim,eval,traditional_vocoder,HUB,N19,FM,-
LA_0003,DF_E_3335849,nocodec,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0040,DF_E_4904052,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEF2,DF_E_2159656,oggm4a,vcc2020,Task1-team21,spoof,notrim,eval,neural_vocoder_nonautoregressive,Task1,team21,MF,E
LA_0001,DF_E_4265380,low_ogg,asvspoof,A13,spoof,notrim,eval,traditional_vocoder,-,-,-,-
TFM1,DF_E_4948773,high_mp3,vcc2020,Task2-team25,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team25,MM,F
VCC2TF1,DF_E_2574943,high_ogg,vcc2018,HUB-N20,spoof,notrim,eval,traditional_vocoder,HUB,N20,MF,-
LA_0045,DF_E_4698656,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF3,DF_E_3043270,high_ogg,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_4203515,low_m4a,vcc2020,Task2-team23,spoof,notrim,eval,neural_vocoder_autoregressive,Task2,team23,FF,F
LA_0028,DF_E_4347666,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_3715959,high_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0035,DF_E_3586193,low_mp3,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_3094388,high_m4a,vcc2018,HUB-N06,spoof,notrim,eval,traditional_vocoder,HUB,N06,MM,-
TFF1,DF_E_2859934,nocodec,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0038,DF_E_4437869,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM1,DF_E_3284063,low_mp3,vcc2020,Task1-team04,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team04,MM,E
LA_0014,DF_E_4648225,nocodec,asvspoof,A08,spoof,notrim,eval,neural_vocoder_nonautoregressive,-,-,-,-
VCC2TM2,DF_E_4580084,low_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
SEF1,DF_E_2143716,high_mp3,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0027,DF_E_2878264,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_3999241,low_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_3330624,high_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0002,DF_E_2898786,low_mp3,asvspoof,A12,spoof,notrim,eval,neural_vocoder_autoregressive,-,-,-,-
LA_0046,DF_E_2953187,low_m4a,asvspoof,A11,spoof,notrim,eval,traditional_vocoder,-,-,-,-
VCC2TF1,DF_E_4421961,high_m4a,vcc2018,HUB-N11,spoof,notrim,eval,traditional_vocoder,HUB,N11,MF,-
LA_0039,DF_E_2128066,high_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM1,DF_E_4638792,mp3m4a,vcc2020,Task1-team13,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team13,FM,E
SEM1,DF_E_2462931,high_m4a,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFM1,DF_E_2311297,high_ogg,vcc2020,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_3802829,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0012,DF_E_2043729,mp3m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_3633492,nocodec,vcc2020,Task1-team24,spoof,notrim,eval,neural_vocoder_autoregressive,Task1,team24,FM,E
VCC2TF1,DF_E_4429107,high_mp3,vcc2018,SPO-N17,spoof,notrim,eval,neural_vocoder_autoregressive,SPO,N17,FF,-
LA_0026,DF_E_3920176,low_m4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SF2,DF_E_2908235,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_2078493,high_ogg,vcc2020,Task2-team06,spoof,notrim,eval,traditional_vocoder,Task2,team06,MF,F
LA_0015,DF_E_4793488,oggm4a,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2SM4,DF_E_4440720,high_mp3,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
LA_0043,DF_E_2934422,low_ogg,asvspoof,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_3088584,high_mp3,vcc2018,HUB-D01,spoof,notrim,eval,traditional_vocoder,HUB,D01,FM,-
VCC2TM1,DF_E_4443457,nocodec,vcc2018,HUB-D05,spoof,notrim,eval,traditional_vocoder,HUB,D05,FM,-
VCC2TM1,DF_E_2057101,oggm4a,vcc2018,HUB-N19,spoof,notrim,eval,traditional_vocoder,HUB,N19,FM,-
VCC2SM2,DF_E_2943562,low_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
VCC2TF1,DF_E_4003986,high_m4a,vcc2018,-,bonafide,notrim,eval,bonafide,-,-,-,-
